permno,gvkey,sample_year_final,annual_return,annual_excess_return,automation,size,book_to_market,profitability,leverage,investment,sic2,n_months
10025,011903,2006,0.5951534406058585,0.5588413789008868,4.2090553452132236,5.740830958431755,0.035680160621197644,0.20606572595021894,0.9801010526045297,NA,30,6
10025,011903,2007,-0.399551514112244,-0.4276780669191851,4.2090553452132236,5.740830958431755,0.035680160621197644,0.20606572595021894,0.9801010526045297,NA,30,12
10025,011903,2008,-0.4507969645458082,-0.4599926704200473,4.360852650831332,5.817349226861126,0.13863316599849074,0.25804570340395144,0.8286330635562962,0.07952191132682136,30,12
10025,011903,2009,1.1774743665449283,1.1757099536462632,4.279949012707169,5.796142853527008,0.15521710062368918,0.23157299682701776,0.8712267648953889,-0.020983099262080352,30,12
10025,011903,2010,-0.3220994310163853,-0.32280369047032975,4.37248723128322,5.968298269076143,0.365,0.212,0.789,0.1878624311608737,30,12
10025,011903,2011,0.08477944843692642,0.08436034555848182,4.488428482956642,5.886298456992729,0.411,0.103,0.839,-0.07872786818135294,30,12
10025,011903,2012,1.104085768831633,1.1028657353597353,4.4505202148690115,5.860204857924467,0.424,0.124,0.88,-0.025756102979976117,30,12
10025,011903,2013,-0.10805332253962885,-0.10805332253962885,4.193028996202372,6.029889270468505,0.26,0.187,0.829,0.1849308429970695,30,12
10025,011903,2014,0.10070004357993056,0.10070004357993056,4.3357108106446764,6.067135404462983,0.334,0.137,0.819,0.03794846380172686,30,12
10025,011903,2015,0.32674316069901077,0.3265863591757563,4.451274601826295,6.156052709266444,0.325,0.086,0.866,0.09299026754403249,30,12
10025,011903,2016,0.5235418093848585,0.5204262643387971,4.472822092988344,6.102437781946885,0.273,0.21,0.796,-0.052202993025322095,30,12
10026,012825,2006,0.2573027649615167,0.22776573157427404,3.6607754442125,5.723336705091363,0.4445738066525673,0.2101371582484539,0.2326133288006172,NA,20,6
10026,012825,2007,-0.23708703379897889,-0.2719567699872105,3.6607754442125,5.723336705091363,0.4445738066525673,0.2101371582484539,0.2326133288006172,NA,20,12
10026,012825,2008,0.16201617586202088,0.14361369803811774,3.641548550792259,5.83131926885805,0.45768399602475685,0.2068994859275604,0.22867714372902045,0.11402832075940435,20,12
10026,012825,2009,0.12576538646807833,0.12479890768136137,3.606980858678926,5.940928860400088,0.45390105337255504,0.1935901211713228,0.22274171154493436,0.1158423511185184,20,12
10026,012825,2010,0.21941221070518901,0.21820701191550573,3.533311103199057,6.012266674737245,0.462,0.222,0.221,0.07394395826321105,20,12
10026,012825,2011,0.11572127969762325,0.11526895442476603,3.6106476058443624,6.086381467777887,0.53,0.231,0.214,0.07693042251865777,20,12
10026,012825,2012,0.21063887245923274,0.20992265998574555,3.7322936415527765,6.182072509945577,0.526,0.207,0.215,0.10041902839070824,20,12
10026,012825,2013,0.4008251165999006,0.4008251165999006,3.7186731175927132,6.311400815089096,0.483,0.201,0.212,0.1380636950044835,20,12
10026,012825,2014,0.24446199123190904,0.24446199123190904,3.8118158550111145,6.401990162555993,0.373,0.209,0.2,0.09481932260500775,20,12
10026,012825,2015,0.08723274782364787,0.08712439025565755,3.7906128113434474,6.470274598241932,0.348,0.214,0.202,0.07066980187183682,20,12
10026,012825,2016,0.15943841219723764,0.15705969159630673,3.8571878423071695,6.557875765148103,0.303,0.205,0.193,0.09155268786561382,20,12
10026,012825,2017,0.15237780379155197,0.14342562550012383,3.9551332035420357,6.610608557714571,0.309,0.199,0.193,0.05414793131972979,20,12
10026,012825,2018,-0.0356182717392578,-0.052801028361063373,3.954512941493536,6.672649211226509,0.304,0.191,0.213,0.06400559941313846,20,12
10026,012825,2019,0.28991531833692274,0.2634469856594037,4.0107084350437185,6.76530191798702,0.287,0.175,0.186,0.09708066040301737,20,12
10026,012825,2020,-0.1416559332916072,-0.14598086007882605,4.006011099540991,6.837346763086166,0.247,0.17,0.182,0.07470353816989314,20,12
10026,012825,2021,0.03244174239783559,0.03235283506453457,4.0270893106336905,6.926909656994458,0.354,0.077,0.234,0.09369611797260341,20,12
10026,012825,2022,-0.03436620833236259,-0.04766609137480182,4.369219360788991,6.9627670014391265,0.311,0.112,0.246,0.0365079723232409,20,12
10026,012825,2023,0.13669446219177117,0.08352237184584421,4.328411184724587,7.0230632542018805,0.375,0.102,0.291,0.062151165156882744,20,12
10026,012825,2024,-0.05409080391509358,-0.10176922618932316,4.3605578200582285,7.104116155045911,0.314,0.14,0.286,0.08442826221976267,20,12
10028,012096,2006,0.06276110588142614,0.0369435073230322,3.0808900818942977,2.4706386779902956,0.6209534719594145,0.09915469146238377,0.48681318681318686,NA,59,6
10028,012096,2007,1.0669262668921968,0.9783232226118981,3.0808900818942977,2.4706386779902956,0.6209534719594145,0.09915469146238377,0.48681318681318686,NA,59,12
10028,012096,2008,-0.6761907878777789,-0.6819357603961226,3.067122269640664,2.5761175298413845,0.5350588989502364,0.11121253613266392,0.4920888483188803,0.11124260355029592,59,12
10028,012096,2009,-0.170587582259494,-0.1713441004506855,3.830742973444721,3.607099822193791,0.4070048672788399,0.04096692802300659,0.4498494261917035,1.8038186520614636,59,12
10028,012096,2010,2.0354576930485067,2.032676036898201,3.8862023058064037,3.445022861202185,0.993,0.139,0.572,-0.14962424373965655,59,12
10028,012096,2011,0.7453287770608816,0.7446517065253742,4.068609740053286,3.454927704083123,0.544,-0.025,0.453,0.009954058192955513,59,12
10028,012096,2012,-0.16001868605297898,-0.16019304936609846,4.171526037614605,3.40982670836021,0.306,0.078,0.367,-0.04409906494819299,59,6
10028,012096,2013,-0.5893188224115397,-0.5893188224115397,3.3394039653180583,3.319553392621645,0.168,0.211,0.431,-0.0863185723727694,59,12
10028,012096,2014,-0.4529153245890861,-0.4529153245890861,3.368491049252266,3.262509861888262,0.299,0.037,0.515,-0.055447048611111154,59,12
10028,012096,2015,-0.7295086158640851,-0.7295387469618317,3.3117208474556077,3.215028433139307,0.342,0.065,0.63,-0.04637181696343092,59,12
10028,012096,2016,2.757573746404159,2.7505107783262264,3.993490588666165,2.939637999199083,1.107,-0.025,0.692,-0.24072438162544174,59,12
10028,012096,2017,-0.24919365567992557,-0.2555096389096032,4.14382461948547,2.7821676970201046,0.115,-0.095,0.819,-0.14569781585488387,59,12
10028,012096,2018,-0.5060151146439791,-0.5153808047698824,3.118983735558764,2.5582345558645145,0.194,0.045,0.489,-0.20063142255788038,59,12
10028,012096,2019,1.9354210108628234,1.8766063714999688,3.4755257880722534,2.5888912192658955,0.457,0.19,0.383,0.031131417950902133,59,12
10028,012096,2020,2.851850832057103,2.837077740232048,3.2742377542008674,2.5663330151501955,0.322,0.181,0.536,-0.022305670296657816,59,12
10028,012096,2021,-0.21730825603157122,-0.21738652520596813,3.3429926690084706,3.295947970943058,0.138,0.256,0.564,1.0742817637117836,59,12
10028,012096,2022,0.29238361963457504,0.27377856273952195,4.241326752570746,3.7032506914129093,0.222,0.222,0.53,0.5027589527089583,59,12
10028,012096,2023,-0.07604581079648876,-0.12097254143999359,4.119672135783707,4.082052658692841,0.275,0.248,0.485,0.4605337736267528,59,12
10028,012096,2024,0.47736727070034957,0.40513871360868126,3.986242144276441,4.266573694734761,0.378,0.171,0.371,0.20264227985219427,59,12
10032,012945,2006,-0.30195833646767,-0.3202223242903981,2.950150193270324,6.397709351174238,0.4547346960774309,0.08877575491116929,0.4337500083268384,NA,36,6
10032,012945,2007,0.09966340093392256,0.05028323977489957,2.950150193270324,6.397709351174238,0.4547346960774309,0.08877575491116929,0.4337500083268384,NA,36,12
10032,012945,2008,-0.3545314060046505,-0.3651200864451136,2.903370946734017,6.686437559821486,0.5426923985402197,0.12922883430530704,0.3991393228874232,0.3347289114490698,36,12
10032,012945,2009,0.6802339483251512,0.6788520373722917,3.1031925831007734,6.820579524846961,0.45088746803954144,0.11768916200044517,0.3745171933714196,0.14355515295796928,36,12
10032,012945,2010,0.08637634067309818,0.08526629610341852,3.164368844470795,6.899954935249403,0.506,0.095,0.484,0.08261066909906653,36,12
10032,012945,2011,-0.11506015219774213,-0.11541507063483891,3.360810542839161,6.930174088929298,0.55,0.118,0.495,0.030680386603912407,36,12
10032,012945,2012,-0.05770816668063894,-0.05830062215697307,3.3355404831386752,7.1626912526550175,0.715,0.114,0.572,0.26177210288342684,36,12
10032,012945,2013,0.677906734230691,0.677906734230691,3.4177448983837238,7.1735942688239644,0.611,0.113,0.539,0.010962670657225657,36,12
10032,012945,2014,-0.048047033565953634,-0.048047033565953634,3.354247710246372,7.250066861958378,0.562,0.102,0.517,0.07947260497115806,36,12
10032,012945,2015,-0.1526327429351152,-0.15272301226824958,3.5927186408844305,7.277720317085385,0.633,0.105,0.515,0.0280393609141889,36,12
10032,012945,2016,0.5475381178774357,0.5443975897182385,3.3642048509323117,7.38338430596686,0.659,0.1,0.505,0.11144835475145136,36,12
10032,012945,2017,0.12361335378692417,0.1148704089299224,3.1641209068712666,7.439787250250301,0.586,0.093,0.481,0.058023922546932026,36,12
10032,012945,2018,-0.158760547610319,-0.1739908247536759,3.0819918799396606,7.476369884405063,0.547,0.095,0.481,0.037260013580922825,36,12
10032,012945,2019,0.506266433846339,0.47542256175209197,3.0285170560416987,7.588921979329542,0.502,0.092,0.523,0.11913055641603135,36,12
10032,012945,2020,0.016506470116502303,0.011503348148338643,2.9938026352210905,7.566643257710312,0.48,0.099,0.567,-0.02203238365697085,36,12
10032,012945,2021,0.22605954841172204,0.22595196611013324,3.0550532596287705,7.601343862109634,0.48,0.105,0.573,0.03530969522549959,36,12
10032,012945,2022,0.0734176415225758,0.05878307003673755,3.1887654859428736,7.73624071879948,0.412,0.101,0.582,0.14441873912667552,36,12
10032,012945,2023,0.05052083802734675,0.0011339504883571827,3.232081988355262,7.808685845198823,0.455,0.083,0.677,0.07513380800821717,36,12
10032,012945,2024,0.4471488902133294,0.376492379367098,3.0630899421584696,8.129536075582967,0.477,0.086,0.634,0.3782991381022652,36,12
10044,011976,2006,0.14506777861694875,0.11775276359956455,3.38460661210081,2.947434488146239,0.1597523194262328,0.3849504119221284,0.18743768693918247,NA,20,6
10044,011976,2007,0.16231987016412974,0.110850416249195,3.38460661210081,2.947434488146239,0.1597523194262328,0.3849504119221284,0.18743768693918247,NA,20,12
10044,011976,2008,-0.6508924891209125,-0.6568813416477137,3.393501175027685,2.9153895208714524,0.17395212271923782,0.4258013394365122,0.21353489380147378,-0.03153696804323866,20,12
10044,011976,2009,0.6086539804116728,0.6072139505863394,3.4280272038713315,2.7817342738994837,0.1534254798989451,0.4131405279136963,0.2782560227906113,-0.12510836584308632,20,12
10044,011976,2010,0.24350983582120134,0.24228538932069354,3.3552452916108706,2.8238163894739174,0.288,0.35,0.212,0.04298012014615735,20,12
10044,011976,2011,-0.07751553570449532,-0.07787894078225843,3.0793378574087877,2.9402195636237325,0.29,0.357,0.21,0.12344872632266496,20,12
